,league,season,game,round,week,date,home_team,away_team,home_score,away_score,status,game_id,url,team_x,home_Expected goals (xG),home_xG non-penalty,home_xG on target (xGOT),home_xG open play,home_xG set play,home_Blocked shots,home_Hit woodwork,home_Shots inside box,home_Shots off target,home_Shots on target,home_Shots outside box,home_Total shots,home_Accurate passes,home_Ball possession,home_Big chances,home_Big chances missed,home_Corners,home_Fouls committed,home_Accurate passes (%),home_Accurate crosses,home_Accurate long balls,home_Offsides,home_Opposition half,home_Own half,home_Passes,home_Throws,home_Accurate crosses (%),home_Accurate long balls (%),home_Touches in opposition box,team_y,away_Expected goals (xG),away_xG non-penalty,away_xG on target (xGOT),away_xG open play,away_xG set play,away_Blocked shots,away_Hit woodwork,away_Shots inside box,away_Shots off target,away_Shots on target,away_Shots outside box,away_Total shots,away_Accurate passes,away_Ball possession,away_Big chances,away_Big chances missed,away_Corners,away_Fouls committed,away_Accurate passes (%),away_Accurate crosses,away_Accurate long balls,away_Offsides,away_Opposition half,away_Own half,away_Passes,away_Throws,away_Accurate crosses (%),away_Accurate long balls (%),away_Touches in opposition box
213,ITA-Serie A,2223,2023-02-11 Lecce-Roma,22,22,2023-02-11 17:00:00+00:00,Lecce,Roma,1 , 1,FT,3919254,https://fotmob.com/matches/roma-vs-lecce/2upm4p#3919254,Lecce,0.34,0.34,0.10,0.28,0.05,2.0,0.0,3.0,3.0,3.0,5.0,8.0,244,42,0,0,3,24,0.71,2,21,2,148,96,343,15,0.11,0.36,,Roma,2.04,1.26,2.48,0.92,0.34,1.0,0.0,7.0,6.0,5.0,5.0,12.0,363,58,3,2,7,8,0.77,2,24,0,145,218,474,30,0.13,0.4,
214,ITA-Serie A,2223,2023-02-12 Bologna-Monza,22,22,2023-02-12 14:00:00+00:00,Bologna,Monza,0 , 1,FT,3919249,https://fotmob.com/matches/monza-vs-bologna/27p2f2#3919249,Bologna,0.90,0.90,0.57,0.60,0.30,1.0,1.0,10.0,8.0,4.0,3.0,13.0,427,63,0,0,3,15,0.85,6,44,0,246,181,505,37,0.17,0.66,,Monza,0.57,0.57,1.63,0.46,0.11,0.0,0.0,3.0,1.0,4.0,2.0,5.0,218,37,1,0,2,18,0.71,0,24,2,81,137,308,14,0.0,0.41,
215,ITA-Serie A,2223,2023-02-12 Juventus-Fiorentina,22,22,2023-02-12 17:00:00+00:00,Juventus,Fiorentina,1 , 0,FT,3919252,https://fotmob.com/matches/fiorentina-vs-juventus/2t0k4f#3919252,Juventus,1.02,1.02,0.84,0.99,0.04,2.0,0.0,5.0,2.0,3.0,2.0,7.0,289,44,4,3,5,11,0.77,2,24,5,98,191,377,14,0.15,0.4,,Fiorentina,0.69,0.69,0.17,0.52,0.17,3.0,0.0,7.0,6.0,2.0,4.0,11.0,385,56,1,1,6,17,0.83,5,31,2,211,174,464,15,0.17,0.53,
216,ITA-Serie A,2223,2023-02-12 SSC Napoli-Cremonese,22,22,2023-02-12 19:45:00+00:00,SSC Napoli,Cremonese,3 , 0,FT,3919256,https://fotmob.com/matches/cremonese-vs-ssc-napoli/2l0qxt#3919256,SSC Napoli,1.77,1.77,2.49,0.70,1.07,1.0,0.0,10.0,4.0,10.0,5.0,15.0,615,66,2,1,9,7,0.88,7,31,3,274,341,697,11,0.35,0.55,,Cremonese,0.17,0.17,0.12,0.16,0.02,3.0,0.0,1.0,2.0,1.0,5.0,6.0,260,34,0,0,7,7,0.76,3,24,0,131,129,344,21,0.17,0.41,
217,ITA-Serie A,2223,2023-02-12 Udinese-Sassuolo,22,22,2023-02-12 11:30:00+00:00,Udinese,Sassuolo,2 , 2,FT,3919258,https://fotmob.com/matches/sassuolo-vs-udinese/29h7wo#3919258,Udinese,1.65,1.65,1.32,1.18,0.47,5.0,0.0,11.0,4.0,8.0,6.0,17.0,344,47,3,2,10,12,0.87,9,36,3,126,218,394,12,0.35,0.72,,Sassuolo,0.73,0.73,0.14,0.53,0.20,0.0,1.0,6.0,5.0,1.0,0.0,6.0,393,53,0,0,7,8,0.89,4,35,0,157,236,443,15,0.19,0.61,
218,ITA-Serie A,2223,2023-02-13 Hellas Verona-Salernitana,22,22,2023-02-13 17:30:00+00:00,Hellas Verona,Salernitana,1 , 0,FT,3919251,https://fotmob.com/matches/salernitana-vs-hellas-verona/27nbbi#3919251,Hellas Verona,1.19,1.19,0.75,0.87,0.31,5.0,0.0,10.0,5.0,4.0,4.0,14.0,183,37,2,1,5,14,0.63,2,12,5,94,89,289,18,0.17,0.26,,Salernitana,0.90,0.90,1.18,0.87,0.03,1.0,0.0,4.0,4.0,3.0,4.0,8.0,389,63,1,1,1,21,0.76,1,36,1,198,191,509,28,0.08,0.48,
219,ITA-Serie A,2223,2023-02-13 Sampdoria-Inter,22,22,2023-02-13 19:45:00+00:00,Sampdoria,Inter,0 , 0,FT,3919257,https://fotmob.com/matches/inter-vs-sampdoria/2u3cqf#3919257,Sampdoria,0.52,0.52,0.24,0.38,0.15,2.0,0.0,5.0,3.0,2.0,2.0,7.0,268,35,0,0,3,13,0.74,5,24,0,120,148,362,16,0.36,0.41,,Inter,1.84,1.84,0.99,1.37,0.46,7.0,1.0,16.0,13.0,5.0,9.0,25.0,600,65,1,1,7,11,0.9,12,42,3,320,280,669,12,0.32,0.69,
220,ITA-Serie A,2223,2023-02-17 Sassuolo-SSC Napoli,23,23,2023-02-17 19:45:00+00:00,Sassuolo,SSC Napoli,0 , 2,FT,3919266,https://fotmob.com/matches/sassuolo-vs-ssc-napoli/2mirhu#3919266,Sassuolo,0.77,0.77,0.22,0.68,0.09,3.0,1.0,7.0,6.0,2.0,4.0,11.0,344,40,0,0,1,12,0.82,4,14,2,173,171,419,18,0.31,0.42,,SSC Napoli,1.67,1.67,0.41,1.47,0.20,3.0,1.0,14.0,8.0,4.0,1.0,15.0,561,60,3,3,3,10,0.88,4,32,2,275,286,640,22,0.27,0.55,
221,ITA-Serie A,2223,2023-02-18 Inter-Udinese,23,23,2023-02-18 19:45:00+00:00,Inter,Udinese,3 , 1,FT,3919261,https://fotmob.com/matches/udinese-vs-inter/2gg3e6#3919261,Inter,3.01,2.22,2.66,1.96,0.26,8.0,0.0,12.0,4.0,7.0,7.0,19.0,444,59,4,2,3,14,0.85,5,38,2,237,207,521,18,0.19,0.62,,Udinese,0.81,0.81,0.12,0.68,0.14,4.0,0.0,5.0,4.0,1.0,4.0,9.0,291,41,0,0,8,14,0.81,2,23,0,124,167,359,13,0.14,0.49,
222,ITA-Serie A,2223,2023-02-18 Monza-AC Milan,23,23,2023-02-18 17:00:00+00:00,Monza,AC Milan,0 , 1,FT,3919262,https://fotmob.com/matches/monza-vs-ac-milan/1vlisq#3919262,Monza,0.50,0.50,0.56,0.38,0.12,3.0,1.0,8.0,3.0,5.0,3.0,11.0,448,59,0,0,10,10,0.84,3,30,1,172,276,535,24,0.1,0.49,,AC Milan,2.25,2.25,3.31,1.38,0.86,1.0,1.0,11.0,5.0,8.0,3.0,14.0,296,41,4,4,3,18,0.76,3,19,2,121,175,387,17,0.3,0.43,
223,ITA-Serie A,2223,2023-02-18 Sampdoria-Bologna,23,23,2023-02-18 14:00:00+00:00,Sampdoria,Bologna,1 , 2,FT,3919265,https://fotmob.com/matches/bologna-vs-sampdoria/37zyqc#3919265,Sampdoria,2.35,0.77,2.58,0.58,0.19,2.0,0.0,5.0,3.0,4.0,4.0,9.0,280,40,4,3,1,13,0.75,0,28,0,112,168,371,26,0.0,0.48,,Bologna,0.85,0.85,1.34,0.78,0.07,4.0,0.0,7.0,3.0,5.0,5.0,12.0,450,60,1,1,8,13,0.83,4,36,2,152,298,540,15,0.19,0.54,
224,ITA-Serie A,2223,2023-02-19 Atalanta-Lecce,23,23,2023-02-19 11:30:00+00:00,Atalanta,Lecce,1 , 2,FT,3919259,https://fotmob.com/matches/atalanta-vs-lecce/2sxefy#3919259,Atalanta,1.46,1.46,2.37,1.34,0.12,4.0,0.0,12.0,6.0,10.0,8.0,20.0,521,70,2,2,6,10,0.81,6,28,2,282,239,644,43,0.32,0.41,,Lecce,0.43,0.43,0.62,0.10,0.33,0.0,0.0,2.0,2.0,2.0,2.0,4.0,184,30,1,0,1,12,0.65,2,30,2,113,71,281,16,0.25,0.38,
225,ITA-Serie A,2223,2023-02-19 Fiorentina-Empoli,23,23,2023-02-19 14:00:00+00:00,Fiorentina,Empoli,1 , 1,FT,3919260,https://fotmob.com/matches/empoli-vs-fiorentina/2eqp0i#3919260,Fiorentina,2.23,2.23,1.20,1.29,0.94,8.0,1.0,19.0,15.0,4.0,8.0,27.0,349,61,2,1,13,8,0.84,17,43,3,187,162,417,36,0.37,0.63,,Empoli,0.80,0.80,0.36,0.80,0.00,0.0,0.0,4.0,2.0,3.0,1.0,5.0,209,39,1,1,1,15,0.73,3,23,3,67,142,287,23,0.38,0.4,
226,ITA-Serie A,2223,2023-02-19 Roma-Hellas Verona,23,23,2023-02-19 19:45:00+00:00,Roma,Hellas Verona,1 , 0,FT,3919263,https://fotmob.com/matches/roma-vs-hellas-verona/2uku6v#3919263,Roma,0.79,0.79,1.61,0.40,0.38,4.0,0.0,5.0,0.0,5.0,4.0,9.0,286,46,2,1,5,15,0.71,6,21,0,148,138,404,25,0.6,0.36,,Hellas Verona,0.42,0.42,0.15,0.34,0.08,4.0,0.0,5.0,3.0,1.0,3.0,8.0,357,54,1,1,1,19,0.77,1,27,0,135,222,465,23,0.11,0.37,
227,ITA-Serie A,2223,2023-02-19 Salernitana-Lazio,23,23,2023-02-19 14:00:00+00:00,Salernitana,Lazio,0 , 2,FT,3919264,https://fotmob.com/matches/salernitana-vs-lazio/1v70cn#3919264,Salernitana,0.41,0.41,0.19,0.20,0.22,2.0,0.0,5.0,5.0,2.0,4.0,9.0,319,35,0,0,2,10,0.8,3,28,1,89,230,398,9,0.27,0.49,,Lazio,2.99,1.41,3.41,1.18,0.23,7.0,0.0,12.0,7.0,7.0,9.0,21.0,665,65,4,2,9,7,0.88,2,42,2,334,331,752,22,0.13,0.72,
228,ITA-Serie A,2223,2023-02-19 Spezia-Juventus,23,23,2023-02-19 17:00:00+00:00,Spezia,Juventus,0 , 2,FT,3919267,https://fotmob.com/matches/spezia-vs-juventus/38be96#3919267,Spezia,1.30,1.30,1.42,1.17,0.13,8.0,0.0,11.0,3.0,7.0,7.0,18.0,454,59,0,0,7,8,0.86,7,30,2,248,206,526,26,0.28,0.64,,Juventus,1.16,1.16,1.45,0.84,0.32,3.0,0.0,8.0,9.0,3.0,7.0,15.0,281,41,2,1,4,9,0.76,4,31,4,107,174,371,17,0.31,0.44,
229,ITA-Serie A,2223,2023-02-20 Torino-Cremonese,23,23,2023-02-20 19:45:00+00:00,Torino,Cremonese,2 , 2,FT,3919268,https://fotmob.com/matches/cremonese-vs-torino/2k9wfv#3919268,Torino,2.35,1.56,2.70,1.52,0.04,3.0,0.0,11.0,6.0,6.0,4.0,15.0,446,63,3,1,5,9,0.82,3,21,0,192,254,545,20,0.16,0.35,,Cremonese,0.66,0.66,0.38,0.37,0.28,2.0,0.0,5.0,7.0,2.0,6.0,11.0,200,37,0,0,1,12,0.66,5,18,0,108,92,305,22,0.26,0.32,
