,league,season,game,round,week,date,home_team,away_team,home_score,away_score,status,game_id,url,team_x,home_Expected goals (xG),home_xG non-penalty,home_xG on target (xGOT),home_xG open play,home_xG set play,home_Blocked shots,home_Hit woodwork,home_Shots inside box,home_Shots off target,home_Shots on target,home_Shots outside box,home_Total shots,home_Accurate passes,home_Ball possession,home_Big chances,home_Big chances missed,home_Corners,home_Fouls committed,home_Accurate passes (%),home_Accurate crosses,home_Accurate long balls,home_Offsides,home_Opposition half,home_Own half,home_Passes,home_Throws,home_Touches in opposition box,home_Accurate crosses (%),home_Accurate long balls (%),team_y,away_Expected goals (xG),away_xG non-penalty,away_xG on target (xGOT),away_xG open play,away_xG set play,away_Blocked shots,away_Hit woodwork,away_Shots inside box,away_Shots off target,away_Shots on target,away_Shots outside box,away_Total shots,away_Accurate passes,away_Ball possession,away_Big chances,away_Big chances missed,away_Corners,away_Fouls committed,away_Accurate passes (%),away_Accurate crosses,away_Accurate long balls,away_Offsides,away_Opposition half,away_Own half,away_Passes,away_Throws,away_Touches in opposition box,away_Accurate crosses (%),away_Accurate long balls (%)
303,ITA-Serie A,2324,2024-04-07 Cagliari-Atalanta,31,31,2024-04-07 16:00:00+00:00,Cagliari,Atalanta,2 , 1,FT,4230812,https://fotmob.com/matches/atalanta-vs-cagliari/2ekudg#4230812,Cagliari,0.67,0.67,0.74,0.50,0.16,4.0,0.0,7.0,4.0,3.0,4.0,11.0,188,38,1,0,4,16,0.63,5,16,2,101,87,297,33,16,0.28,0.23,Atalanta,0.50,0.50,0.85,0.48,0.02,2.0,0.0,4.0,3.0,2.0,3.0,7.0,376,62,1,0,4,19,0.76,4,21,1,182,194,493,23,19,0.2,0.36
304,ITA-Serie A,2324,2024-04-07 Frosinone-Bologna,31,31,2024-04-07 10:30:00+00:00,Frosinone,Bologna,0 , 0,FT,4230814,https://fotmob.com/matches/bologna-vs-frosinone/383rul#4230814,Frosinone,0.39,0.39,0.26,0.29,0.11,4.0,0.0,5.0,3.0,5.0,7.0,12.0,210,34,1,1,5,10,0.69,5,12,0,91,119,305,27,13,0.56,0.21,Bologna,1.96,1.96,1.56,1.86,0.10,2.0,1.0,7.0,6.0,5.0,6.0,13.0,505,66,4,4,2,14,0.86,4,25,2,210,295,590,20,16,0.44,0.5
305,ITA-Serie A,2324,2024-04-07 Hellas Verona-Genoa,31,31,2024-04-07 16:00:00+00:00,Hellas Verona,Genoa,1 , 2,FT,4230818,https://fotmob.com/matches/hellas-verona-vs-genoa/3cdz1r#4230818,Hellas Verona,1.33,1.33,0.37,1.28,0.04,4.0,0.0,6.0,5.0,3.0,6.0,12.0,381,61,2,1,5,14,0.81,4,41,2,190,191,473,30,25,0.14,0.59,Genoa,2.17,2.17,2.27,2.03,0.14,2.0,1.0,7.0,4.0,5.0,4.0,11.0,222,39,4,2,3,15,0.72,4,14,3,74,148,308,23,15,0.36,0.27
306,ITA-Serie A,2324,2024-04-07 Juventus-Fiorentina,31,31,2024-04-07 18:45:00+00:00,Juventus,Fiorentina,1 , 0,FT,4230816,https://fotmob.com/matches/fiorentina-vs-juventus/2t0k4f#4230816,Juventus,1.94,1.94,1.06,0.13,1.80,3.0,2.0,6.0,2.0,2.0,1.0,7.0,154,25,3,2,5,16,0.71,2,20,5,74,80,217,16,16,0.22,0.49,Fiorentina,0.55,0.55,0.62,0.20,0.34,5.0,1.0,6.0,6.0,2.0,7.0,13.0,591,75,0,0,6,8,0.91,8,35,1,323,268,647,20,28,0.26,0.58
307,ITA-Serie A,2324,2024-04-07 Monza-SSC Napoli,31,31,2024-04-07 13:00:00+00:00,Monza,SSC Napoli,2 , 4,FT,4230808,https://fotmob.com/matches/monza-vs-ssc-napoli/27vdst#4230808,Monza,0.40,0.40,0.87,0.32,0.07,1.0,0.0,5.0,4.0,2.0,2.0,7.0,277,38,0,0,1,10,0.81,2,35,1,104,173,344,16,10,0.25,0.56,SSC Napoli,2.20,2.20,3.94,1.91,0.29,7.0,0.0,13.0,4.0,8.0,6.0,19.0,503,62,4,2,6,8,0.9,4,25,4,299,204,556,18,30,0.25,0.68
308,ITA-Serie A,2324,2024-04-08 Udinese-Inter,31,31,2024-04-08 18:45:00+00:00,Udinese,Inter,1 , 2,FT,4230820,https://fotmob.com/matches/udinese-vs-inter/2gg3e6#4230820,Udinese,0.06,0.06,0.60,0.06,0.00,1.0,0.0,1.0,1.0,1.0,2.0,3.0,128,23,0,0,0,11,0.6,1,17,0,48,80,214,16,11,0.2,0.36,Inter,3.31,2.52,2.56,2.15,0.37,7.0,1.0,14.0,10.0,6.0,9.0,23.0,628,77,5,3,8,11,0.89,8,29,4,353,275,708,22,38,0.22,0.67
309,ITA-Serie A,2324,2024-04-12 Lazio-Salernitana,32,32,2024-04-12 18:45:00+00:00,Lazio,Salernitana,4 , 1,FT,4230847,https://fotmob.com/matches/salernitana-vs-lazio/1v70cn#4230847,Lazio,1.89,1.89,3.81,1.50,0.39,5.0,0.0,13.0,6.0,6.0,4.0,17.0,571,66,5,3,9,15,0.89,4,35,3,271,300,644,18,20,0.2,0.71,Salernitana,0.57,0.57,0.83,0.57,0.00,3.0,0.0,3.0,0.0,5.0,5.0,8.0,266,34,1,0,0,10,0.77,1,32,0,134,132,346,15,7,0.13,0.57
310,ITA-Serie A,2324,2024-04-13 Bologna-Monza,32,32,2024-04-13 18:45:00+00:00,Bologna,Monza,0 , 0,FT,4230845,https://fotmob.com/matches/monza-vs-bologna/27p2f2#4230845,Bologna,2.11,2.11,2.39,1.33,0.78,4.0,0.0,11.0,6.0,7.0,6.0,17.0,473,62,5,5,10,13,0.88,3,20,1,269,204,535,22,31,0.14,0.53,Monza,0.43,0.43,0.00,0.43,0.00,1.0,0.0,2.0,3.0,0.0,2.0,4.0,275,38,1,1,0,19,0.82,0,24,0,77,198,334,15,10,0.0,0.5
311,ITA-Serie A,2324,2024-04-13 Lecce-Empoli,32,32,2024-04-13 13:00:00+00:00,Lecce,Empoli,1 , 0,FT,4230849,https://fotmob.com/matches/empoli-vs-lecce/2t1cjx#4230849,Lecce,2.67,2.67,1.69,1.09,1.58,4.0,1.0,11.0,3.0,7.0,3.0,14.0,270,54,5,4,10,18,0.76,8,20,2,93,177,354,26,22,0.38,0.34,Empoli,0.12,0.12,0.93,0.06,0.07,1.0,0.0,2.0,2.0,0.0,1.0,3.0,226,46,0,0,3,15,0.73,0,20,4,103,123,308,18,5,0.0,0.33
312,ITA-Serie A,2324,2024-04-13 Torino-Juventus,32,32,2024-04-13 16:05:00+00:00,Torino,Juventus,0 , 0,FT,4230851,https://fotmob.com/matches/torino-vs-juventus/37eu56#4230851,Torino,0.56,0.56,0.19,0.38,0.18,8.0,0.0,7.0,3.0,2.0,6.0,13.0,334,48,1,1,6,18,0.85,7,25,0,185,149,392,13,15,0.2,0.53,Juventus,1.17,1.17,1.28,1.15,0.02,2.0,1.0,6.0,3.0,3.0,2.0,8.0,384,52,2,2,2,11,0.85,6,14,1,158,226,454,14,15,0.38,0.35
313,ITA-Serie A,2324,2024-04-14 Inter-Cagliari,32,32,2024-04-14 18:45:00+00:00,Inter,Cagliari,2 , 2,FT,4230848,https://fotmob.com/matches/cagliari-vs-inter/2fpx1z#4230848,Inter,2.07,1.28,2.61,1.07,0.21,2.0,0.0,8.0,6.0,7.0,7.0,15.0,568,63,2,0,7,5,0.92,7,29,3,380,188,617,15,25,0.22,0.76,Cagliari,1.07,1.07,1.74,0.97,0.11,1.0,0.0,7.0,3.0,6.0,3.0,10.0,318,37,3,2,0,10,0.86,2,34,0,170,148,370,13,14,0.14,0.59
314,ITA-Serie A,2324,2024-04-14 SSC Napoli-Frosinone,32,32,2024-04-14 10:30:00+00:00,SSC Napoli,Frosinone,2 , 2,FT,4230850,https://fotmob.com/matches/ssc-napoli-vs-frosinone/38be9c#4230850,SSC Napoli,2.21,2.21,1.91,1.31,0.90,6.0,0.0,13.0,5.0,9.0,7.0,20.0,474,66,4,3,6,11,0.85,6,27,2,193,281,557,21,32,0.33,0.48,Frosinone,2.42,1.63,3.71,1.55,0.08,3.0,0.0,9.0,4.0,6.0,4.0,13.0,202,34,4,2,2,14,0.71,4,14,2,107,95,286,16,26,0.4,0.34
315,ITA-Serie A,2324,2024-04-14 Sassuolo-AC Milan,32,32,2024-04-14 13:00:00+00:00,Sassuolo,AC Milan,3 , 3,FT,4230852,https://fotmob.com/matches/sassuolo-vs-ac-milan/294gu6#4230852,Sassuolo,1.19,1.19,1.55,1.19,0.00,3.0,0.0,7.0,2.0,5.0,3.0,10.0,178,32,2,1,2,12,0.68,2,18,0,96,82,263,16,18,0.29,0.31,AC Milan,2.84,2.84,2.46,2.18,0.65,6.0,0.0,17.0,10.0,7.0,6.0,23.0,460,68,6,4,6,9,0.86,8,24,3,216,244,536,18,44,0.47,0.57
316,ITA-Serie A,2324,2024-04-15 Atalanta-Hellas Verona,32,32,2024-04-15 18:45:00+00:00,Atalanta,Hellas Verona,2 , 2,FT,4230844,https://fotmob.com/matches/atalanta-vs-hellas-verona/2sso04#4230844,Atalanta,1.54,1.54,2.17,1.37,0.17,2.0,0.0,11.0,5.0,9.0,5.0,16.0,389,59,5,4,5,6,0.78,3,20,2,221,168,500,30,25,0.17,0.33,Hellas Verona,1.52,1.52,1.97,1.12,0.40,3.0,0.0,6.0,5.0,5.0,7.0,13.0,231,41,1,0,4,10,0.68,6,28,2,121,110,340,29,14,0.29,0.39
317,ITA-Serie A,2324,2024-04-15 Fiorentina-Genoa,32,32,2024-04-15 16:30:00+00:00,Fiorentina,Genoa,1 , 1,FT,4230846,https://fotmob.com/matches/fiorentina-vs-genoa/2wv81r#4230846,Fiorentina,1.50,1.50,0.88,1.31,0.19,7.0,0.0,11.0,10.0,3.0,9.0,20.0,374,59,2,1,6,8,0.86,9,28,1,220,154,435,21,29,0.32,0.54,Genoa,1.51,0.73,1.27,0.57,0.15,1.0,0.0,5.0,3.0,3.0,2.0,7.0,234,41,3,2,2,19,0.76,3,21,2,92,142,308,20,10,0.27,0.43
318,ITA-Serie A,2324,2024-04-19 Cagliari-Juventus,33,33,2024-04-19 18:45:00+00:00,Cagliari,Juventus,2 , 2,FT,4230854,https://fotmob.com/matches/cagliari-vs-juventus/2sy6uu#4230854,Cagliari,2.19,0.62,2.43,0.45,0.17,1.0,0.0,6.0,4.0,4.0,3.0,9.0,127,26,3,1,4,16,0.63,4,16,1,49,78,202,17,12,0.44,0.27,Juventus,0.66,0.66,0.42,0.50,0.17,5.0,0.0,9.0,3.0,3.0,2.0,11.0,499,74,0,0,3,15,0.86,7,34,3,312,187,580,26,22,0.27,0.64
319,ITA-Serie A,2324,2024-04-19 Genoa-Lazio,33,33,2024-04-19 16:30:00+00:00,Genoa,Lazio,0 , 1,FT,4230856,https://fotmob.com/matches/lazio-vs-genoa/2wyfxn#4230856,Genoa,0.52,0.52,0.11,0.46,0.06,0.0,0.0,6.0,6.0,2.0,2.0,8.0,338,39,1,1,2,7,0.83,5,24,2,97,241,409,17,19,0.45,0.41,Lazio,1.08,1.08,0.53,0.93,0.14,8.0,0.0,5.0,4.0,1.0,8.0,13.0,552,61,1,0,9,13,0.85,4,33,3,271,281,646,17,29,0.29,0.58
320,ITA-Serie A,2324,2024-04-20 Empoli-SSC Napoli,33,33,2024-04-20 16:00:00+00:00,Empoli,SSC Napoli,1 , 0,FT,4230855,https://fotmob.com/matches/empoli-vs-ssc-napoli/2sw7tc#4230855,Empoli,0.92,0.92,0.74,0.90,0.01,1.0,1.0,5.0,5.0,1.0,2.0,7.0,168,27,2,1,2,14,0.71,5,15,0,72,96,237,15,16,0.42,0.29,SSC Napoli,0.63,0.63,0.03,0.30,0.33,7.0,0.0,6.0,1.0,1.0,3.0,9.0,563,73,0,0,8,12,0.86,3,31,1,293,270,656,31,33,0.11,0.53
321,ITA-Serie A,2324,2024-04-20 Hellas Verona-Udinese,33,33,2024-04-20 18:45:00+00:00,Hellas Verona,Udinese,1 , 0,FT,4230857,https://fotmob.com/matches/udinese-vs-hellas-verona/2tmp9u#4230857,Hellas Verona,0.85,0.85,0.83,0.21,0.64,4.0,2.0,13.0,8.0,4.0,3.0,16.0,228,53,1,1,10,18,0.69,10,44,0,101,127,330,36,28,0.32,0.52,Udinese,1.74,1.74,0.07,0.97,0.77,9.0,0.0,12.0,8.0,1.0,6.0,18.0,223,47,2,2,6,12,0.73,6,21,5,93,130,305,22,18,0.4,0.45
322,ITA-Serie A,2324,2024-04-21 Monza-Atalanta,33,33,2024-04-21 18:45:00+00:00,Monza,Atalanta,1 , 2,FT,4230858,https://fotmob.com/matches/monza-vs-atalanta/1v8mb2#4230858,Monza,1.12,1.12,0.52,0.94,0.18,6.0,1.0,11.0,9.0,2.0,6.0,17.0,468,58,0,0,2,8,0.86,2,43,0,199,269,547,27,18,0.18,0.6,Atalanta,1.51,1.51,1.79,0.96,0.55,1.0,0.0,11.0,5.0,6.0,1.0,12.0,300,42,4,2,8,13,0.79,5,19,1,176,124,382,18,27,0.29,0.37
